Time,Mid,Away Team Score,Play Team Indicator,Home Team Score,Ham
19:47,MISS 3PTR by STEVENS SAM,,,,
--,,,,,REBOUND DEF by TEAM
19:36,,,,,MISS JUMPER by SINGH TEJA(in the paint)
--,,,,,REBOUND OFF by XU COOPER
19:31,,,,,TURNOVER by XU COOPER
19:31,STEAL by RAMEY SAWYER,,,,
19:17,GOOD JUMPER by URENA OLIVER(in the paint),2 (+2),,0,
18:51,,2,,2,GOOD LAYUP by MORGAN HANK(in the paint)
18:34,MISS 3PTR by WITHERINGTON EDWARD,,,,
--,REBOUND OFF by BRENNAN DAVID,,,,
18:28,,,,,FOUL by KANE OWEN
18:28,GOOD FT by WITHERINGTON EDWARD,3 (+1),,2,
18:28,GOOD FT by WITHERINGTON EDWARD,4 (+2),,2,
18:21,,,,,MISS 3PTR by MORGAN HANK
--,REBOUND DEF by STEVENS SAM,,,,
18:00,,,,,FOUL by XU COOPER
17:59,FOUL by BRENNAN DAVID,,,,
17:59,TURNOVER by BRENNAN DAVID,,,,
17:44,,,,,MISS 3PTR by ROBINSON GRAHAM
--,REBOUND DEF by URENA OLIVER,,,,
17:17,GOOD LAYUP by RAMEY SAWYER(in the paint),6 (+4),,2,
17:16,SUB OUT by URENA OLIVER,,,,
17:16,SUB IN by CWALINA KUBA,,,,
17:01,,,,,MISS LAYUP by KANE OWEN(in the paint)
--,REBOUND DEF by CWALINA KUBA,,,,
16:33,GOOD JUMPER by RAMEY SAWYER(in the paint),8 (+6),,2,
16:19,,8 (+4),,4,GOOD JUMPER by SINGH TEJA(in the paint)
15:50,MISS LAYUP by RAMEY SAWYER(in the paint),,,,
--,,,,,REBOUND DEF by TEAM
15:48,,,,,SUB OUT by ROBINSON GRAHAM
15:48,,,,,SUB OUT by XU COOPER
15:48,,,,,SUB OUT by KANE OWEN
15:48,,,,,SUB IN by REESE JALEN
15:48,,,,,SUB IN by RIDEOUT MATTHEW
15:48,,,,,SUB IN by KEYHANI GARRET
15:48,SUB OUT by BRENNAN DAVID,,,,
15:48,SUB IN by NEWELL MARK,,,,
15:39,,8 (+1),,7,GOOD 3PTR by SINGH TEJA
--,,,,,ASSIST by RIDEOUT MATTHEW
15:17,MISS JUMPER by STEVENS SAM,,,,
--,,,,,REBOUND DEF by MORGAN HANK
15:07,,,,,MISS 3PTR by SINGH TEJA
--,REBOUND DEF by NEWELL MARK,,,,
14:58,MISS LAYUP by WITHERINGTON EDWARD(in the paint),,,,
--,,,,,REBOUND DEF by TEAM
14:56,SUB OUT by STEVENS SAM,,,,
14:56,SUB IN by MURRAY IAN,,,,
14:42,,8,,9 (+1),GOOD LAYUP by KEYHANI GARRET(in the paint)
14:32,GOOD 3PTR by CWALINA KUBA,11 (+2),,9,
--,ASSIST by WITHERINGTON EDWARD,,,,
14:20,,,,,MISS JUMPER by MORGAN HANK(in the paint)
--,REBOUND DEF by TEAM,,,,
14:12,GOOD LAYUP by NEWELL MARK(fastbreak)(in the paint),13 (+4),,9,
--,ASSIST by RAMEY SAWYER,,,,
13:51,,,,,MISS JUMPER by MORGAN HANK
--,,,,,REBOUND OFF by KEYHANI GARRET
13:47,,13 (+2),,11,GOOD LAYUP by KEYHANI GARRET(in the paint)
13:40,TURNOVER by MURRAY IAN,,,,
13:40,,,,,STEAL by REESE JALEN
13:40,FOUL by WITHERINGTON EDWARD,,,,
13:40,,13 (+1),,12,GOOD FT by RIDEOUT MATTHEW(fastbreak)
13:40,SUB OUT by WITHERINGTON EDWARD,,,,
13:40,SUB IN by MCKERSIE JACKSON,,,,
13:40,,,,,MISS FT by RIDEOUT MATTHEW(fastbreak)
--,REBOUND DEF by NEWELL MARK,,,,
13:25,MISS LAYUP by NEWELL MARK(in the paint),,,,
13:25,,,,,BLOCK by KEYHANI GARRET
--,REBOUND OFF by NEWELL MARK,,,,
13:16,MISS 3PTR by CWALINA KUBA,,,,
--,REBOUND OFF by TEAM,,,,
13:13,SUB OUT by RAMEY SAWYER,,,,
13:13,SUB IN by URENA OLIVER,,,,
13:01,MISS 3PTR by CWALINA KUBA,,,,
--,,,,,REBOUND DEF by MORGAN HANK
